GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0022857	MF	e	transmembrane transporter activity	7/86	54/2624	0.00161	2	7	1	1	1	0.147	LINF_110011200, LINF_180009000, LINF_240008300, LINF_240008400, LINF_310014500, LINF_360073200, LINF_360073600
GO:0005215	MF	e	transporter activity          	7/86	57/2624	0.00222	1	7	1	1	1	0.147	LINF_110011200, LINF_180009000, LINF_240008300, LINF_240008400, LINF_310014500, LINF_360073200, LINF_360073600
GO:0003824	MF	e	catalytic activity            	19/86	298/2624	0.00308	1	19	1	1	1	0.147	LINF_010009600, LINF_050008500, LINF_080007000, LINF_120006700, LINF_130005800, LINF_130007000, LINF_140012400, LINF_140012800, LINF_170014800, LINF_210006700, LINF_210014700, LINF_220019700, LINF_270022400, LINF_290020900, LINF_290035800, LINF_320029300, LINF_340026200, LINF_340026700, LINF_340039400
GO:0015149	MF	e	hexose transmembrane transporter activity	2/86	3/2624	0.00312	6	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0015578	MF	e	mannose transmembrane transporter activity	2/86	3/2624	0.00312	7	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0005354	MF	e	galactose transmembrane transporter activity	2/86	3/2624	0.00312	7	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0055056	MF	e	D-glucose transmembrane transporter activity	2/86	3/2624	0.00312	7	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0005353	MF	e	fructose transmembrane transporter activity	2/86	3/2624	0.00312	7	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0015145	MF	e	monosaccharide transmembrane transporter activity	2/86	3/2624	0.00312	5	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0051119	MF	e	sugar transmembrane transporter activity	2/86	3/2624	0.00312	4	2	1	1	1	0.147	LINF_360073200, LINF_360073600
GO:0003674	MF	e	molecular_function            	28/86	524/2624	0.00555	0	28	1	1	1	0.239	LINF_010009600, LINF_050008500, LINF_080007000, LINF_090011100, LINF_110011200, LINF_120006700, LINF_130005800, LINF_130007000, LINF_140012400, LINF_140012800, LINF_170014800, LINF_180009000, LINF_210006700, LINF_210014700, LINF_220019700, LINF_240008300, LINF_240008400, LINF_270022400, LINF_280032200, LINF_290020900, LINF_290035800, LINF_310014500, LINF_320029300, LINF_340026200, LINF_340026700, LINF_340039400, LINF_360073200, LINF_360073600
GO:0015144	MF	e	carbohydrate transmembrane transporter activity	2/86	4/2624	0.0061	3	2	1	1	1	0.239	LINF_360073200, LINF_360073600
GO:0016298	MF	e	lipase activity               	2/86	4/2624	0.0061	4	2	1	1	1	0.239	LINF_080007000, LINF_130007000
GO:0016787	MF	e	hydrolase activity            	7/86	79/2624	0.0136	2	7	1	1	1	0.504	LINF_010009600, LINF_080007000, LINF_130005800, LINF_130007000, LINF_210014700, LINF_290035800, LINF_320029300
GO:0008237	MF	e	metallopeptidase activity     	2/86	7/2624	0.02	4	2	1	1	1	0.608	LINF_130005800, LINF_210014700
GO:0016810	MF	e	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	2/86	8/2624	0.0261	3	2	1	1	1	0.608	LINF_010009600, LINF_290035800
GO:0046857	MF	e	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	1/86	1/2624	0.0328	4	1	1	1	1	0.608	 LINF_170014800
GO:0004683	MF	e	calmodulin-dependent protein kinase activity	1/86	1/2624	0.0328	7	1	1	1	1	0.608	 LINF_340026700
GO:0004767	MF	e	sphingomyelin phosphodiesterase activity	1/86	1/2624	0.0328	6	1	1	1	1	0.608	 LINF_080007000
GO:0030572	MF	e	phosphatidyltransferase activity	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_340026200
GO:0004737	MF	e	pyruvate decarboxylase activity	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_340039400
GO:0005355	MF	e	glucose transmembrane transporter activity	1/86	1/2624	0.0328	8	1	1	1	1	0.608	 LINF_360073600
GO:0004337	MF	e	geranyltranstransferase activity	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_220019700
GO:0042392	MF	e	sphingosine-1-phosphate phosphatase activity	1/86	1/2624	0.0328	7	1	1	1	1	0.608	 LINF_320029300
GO:0003920	MF	e	GMP reductase activity        	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_170014800
GO:0004686	MF	e	elongation factor-2 kinase activity	1/86	1/2624	0.0328	8	1	1	1	1	0.608	 LINF_340026700
GO:0008808	MF	e	cardiolipin synthase activity 	1/86	1/2624	0.0328	6	1	1	1	1	0.608	 LINF_340026200
GO:0004806	MF	e	triglyceride lipase activity  	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_130007000
GO:0071889	MF	e	14-3-3 protein binding        	1/86	1/2624	0.0328	3	1	1	1	1	0.608	 LINF_090011100
GO:0004694	MF	e	eukaryotic translation initiation factor 2alpha kinase activity	1/86	1/2624	0.0328	7	1	1	1	1	0.608	 LINF_340026700
GO:0004161	MF	e	dimethylallyltranstransferase activity	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_220019700
GO:0016661	MF	e	oxidoreductase activity, acting on other nitrogenous compounds as donors	1/86	1/2624	0.0328	3	1	1	1	1	0.608	 LINF_170014800
GO:0008936	MF	e	nicotinamidase activity       	1/86	1/2624	0.0328	5	1	1	1	1	0.608	 LINF_010009600
GO:0004674	MF	e	protein serine/threonine kinase activity	2/86	10/2624	0.0403	6	2	1	1	1	0.728	LINF_210006700, LINF_340026700
GO:0016740	MF	e	transferase activity          	9/86	139/2624	0.0444	2	9	1	1	1	0.782	LINF_120006700, LINF_140012400, LINF_140012800, LINF_210006700, LINF_220019700, LINF_270022400, LINF_290020900, LINF_340026200, LINF_340026700
