Seq_648_LinJ.21,Seq_649_LinJ.21,Seq_650_LinJ.21,Seq_651_LinJ.21,Seq_652_LinJ.21,Seq_653_LinJ.21,Seq_654_LinJ.21,Seq_655_LinJ.21,Seq_661_LinJ.21,,,,,,,,,,,,,,,
Seq_648_LinJ.21,Seq_649_LinJ.21,Seq_650_LinJ.21,Seq_651_LinJ.21,Seq_652_LinJ.21,Seq_653_LinJ.21,Seq_654_LinJ.21,Seq_661_LinJ.21,,,,,,,,,,,,,,,,
Seq_648_LinJ.21,Seq_649_LinJ.21,Seq_650_LinJ.21,Seq_651_LinJ.21,Seq_652_LinJ.21,Seq_653_LinJ.21,Seq_654_LinJ.21,Seq_655_LinJ.21,,,,,,,,,,,,,,,,
Seq_649_LinJ.21,Seq_651_LinJ.21,Seq_653_LinJ.21,Seq_655_LinJ.21,Seq_661_LinJ.21,,,,,,,,,,,,,,,,,,,
Seq_656_LinJ.21,Seq_662_LinJ.21,,,,,,,,,,,,,,,,,,,,,,
Seq_657_LinJ.21,Seq_663_LinJ.21,,,,,,,,,,,,,,,,,,,,,,
Seq_658_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_659_LinJ.21,Seq_660_LinJ.21,Seq_664_LinJ.21,,,,,,,,,,,,,,,,,,,,,
Seq_651_LinJ.21,Seq_652_LinJ.21,Seq_654_LinJ.21,Seq_655_LinJ.21,Seq_661_LinJ.21,,,,,,,,,,,,,,,,,,,
Seq_665_LinJ.21,Seq_666_LinJ.21,,,,,,,,,,,,,,,,,,,,,,
Seq_667_LinJ.21,Seq_667_LinJ.21,Seq_667_LinJ.21,,,,,,,,,,,,,,,,,,,,,
