GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0065009	BP	e	regulation of molecular function	3/329	4/2624	0.00709	2	3	1	1	1	0.302	LINF_280005800, LINF_340015200, LINF_360014300
GO:1901264	BP	e	carbohydrate derivative transport	3/329	4/2624	0.00709	4	3	1	1	1	0.302	LINF_180009000, LINF_240008300, LINF_240008400
GO:0015780	BP	e	nucleotide-sugar transmembrane transport	3/329	4/2624	0.00709	6	3	1	1	1	0.302	LINF_180009000, LINF_240008300, LINF_240008400
GO:0046777	BP	e	protein autophosphorylation   	3/329	4/2624	0.00709	7	3	1	1	1	0.302	LINF_280026600, LINF_340015200, LINF_360014300
GO:0046942	BP	e	carboxylic acid transport     	5/329	11/2624	0.00729	5	5	1	1	1	0.302	LINF_100013850, LINF_100013900, LINF_110012200, LINF_110012300, LINF_140021100
GO:0015849	BP	e	organic acid transport        	5/329	11/2624	0.00729	4	5	1	1	1	0.302	LINF_100013850, LINF_100013900, LINF_110012200, LINF_110012300, LINF_140021100
GO:0044283	BP	e	small molecule biosynthetic process	10/329	35/2624	0.00853	3	10	1	1	1	0.331	LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_290035800, LINF_300028900, LINF_300036400, LINF_310038200, LINF_360026000
GO:0006793	BP	e	phosphorus metabolic process  	17/329	73/2624	0.0105	3	17	1	1	1	0.331	LINF_110007000, LINF_180018600, LINF_190006600, LINF_210006700, LINF_210007900, LINF_270020760, LINF_280005800, LINF_280026200, LINF_280026600, LINF_300037500, LINF_340015200, LINF_340026200, LINF_340026700, LINF_340027100, LINF_360012800, LINF_360014300, LINF_360068900
GO:0042592	BP	e	homeostatic process           	5/329	12/2624	0.0112	1	5	1	1	1	0.331	LINF_100013850, LINF_100013900, LINF_280026600, LINF_310018700, LINF_340005600
GO:0043436	BP	e	oxoacid metabolic process     	11/329	41/2624	0.0137	4	11	1	1	1	0.331	LINF_060013000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_160010400, LINF_210007900, LINF_300036400, LINF_340039400, LINF_360030700
GO:0006082	BP	e	organic acid metabolic process	11/329	42/2624	0.0153	3	11	1	1	1	0.331	LINF_060013000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_160010400, LINF_210007900, LINF_300036400, LINF_340039400, LINF_360030700
GO:0170035	BP	e	L-amino acid catabolic process	2/329	2/2624	0.0157	8	2	1	1	1	0.331	LINF_060013000, LINF_360030700
GO:0080144	BP	e	intracellular amino acid homeostasis	2/329	2/2624	0.0157	4	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:1903789	BP	e	regulation of amino acid transmembrane transport	2/329	2/2624	0.0157	7	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0071900	BP	e	regulation of protein serine/threonine kinase activity	2/329	2/2624	0.0157	10	2	1	1	1	0.331	LINF_340015200, LINF_360014300
GO:0035524	BP	e	proline transmembrane transport	2/329	2/2624	0.0157	7	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0002036	BP	e	regulation of L-glutamate import across plasma membrane	2/329	2/2624	0.0157	9	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0090465	BP	e	intracellular arginine homeostasis	2/329	2/2624	0.0157	5	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0051955	BP	e	regulation of amino acid transport	2/329	2/2624	0.0157	6	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:1901616	BP	e	organic hydroxy compound catabolic process	2/329	2/2624	0.0157	3	2	1	1	1	0.331	LINF_250017300, LINF_280007300
GO:0090461	BP	e	intracellular glutamate homeostasis	2/329	2/2624	0.0157	5	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0043549	BP	e	regulation of kinase activity 	2/329	2/2624	0.0157	8	2	1	1	1	0.331	LINF_340015200, LINF_360014300
GO:0051952	BP	e	regulation of amine transport 	2/329	2/2624	0.0157	5	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0032890	BP	e	regulation of organic acid transport	2/329	2/2624	0.0157	5	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0009068	BP	e	aspartate family amino acid catabolic process	2/329	2/2624	0.0157	9	2	1	1	1	0.331	LINF_060013000, LINF_360030700
GO:0006566	BP	e	threonine metabolic process   	2/329	2/2624	0.0157	9	2	1	1	1	0.331	LINF_060013000, LINF_300036400
GO:0170040	BP	e	proteinogenic amino acid catabolic process	2/329	2/2624	0.0157	7	2	1	1	1	0.331	LINF_060013000, LINF_360030700
GO:0046164	BP	e	alcohol catabolic process     	2/329	2/2624	0.0157	4	2	1	1	1	0.331	LINF_250017300, LINF_280007300
GO:0010958	BP	e	regulation of amino acid import across plasma membrane	2/329	2/2624	0.0157	8	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0070881	BP	e	regulation of proline transport	2/329	2/2624	0.0157	7	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:0051338	BP	e	regulation of transferase activity	2/329	2/2624	0.0157	4	2	1	1	1	0.331	LINF_340015200, LINF_360014300
GO:0045859	BP	e	regulation of protein kinase activity	2/329	2/2624	0.0157	9	2	1	1	1	0.331	LINF_340015200, LINF_360014300
GO:0034762	BP	e	regulation of transmembrane transport	2/329	2/2624	0.0157	5	2	1	1	1	0.331	LINF_100013850, LINF_100013900
GO:1905039	BP	e	carboxylic acid transmembrane transport	3/329	5/2624	0.0161	6	3	1	1	1	0.331	LINF_100013850, LINF_100013900, LINF_140021100
GO:1903825	BP	e	organic acid transmembrane transport	3/329	5/2624	0.0161	5	3	1	1	1	0.331	LINF_100013850, LINF_100013900, LINF_140021100
GO:0006970	BP	e	response to osmotic stress    	3/329	5/2624	0.0161	3	3	1	1	1	0.331	LINF_100013850, LINF_100013900, LINF_310005100
GO:0036211	BP	e	protein modification process  	13/329	53/2624	0.0182	4	13	1	1	1	0.368	LINF_110017100, LINF_190006600, LINF_210006700, LINF_210022400, LINF_250030000, LINF_280026600, LINF_290015200, LINF_300027100, LINF_340015200, LINF_340026700, LINF_340027100, LINF_360012800, LINF_360014300
GO:0009628	BP	e	response to abiotic stimulus  	6/329	18/2624	0.0185	2	6	1	1	1	0.368	LINF_100013850, LINF_100013900, LINF_110012200, LINF_110012300, LINF_280005800, LINF_310005100
GO:0006629	BP	e	lipid metabolic process       	15/329	65/2624	0.0204	3	15	1	1	1	0.4	LINF_120006700, LINF_130007000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_180018600, LINF_270020760, LINF_300006300, LINF_300037500, LINF_310038200, LINF_340026200, LINF_360027400, LINF_360068900
GO:1901566	BP	e	organonitrogen compound biosynthetic process	10/329	39/2624	0.0239	3	10	1	1	1	0.46	LINF_150005500, LINF_160010400, LINF_180018600, LINF_180021400, LINF_180022300, LINF_280005800, LINF_290035800, LINF_300028900, LINF_300036400, LINF_360026000
GO:0008610	BP	e	lipid biosynthetic process    	12/329	51/2624	0.0291	4	12	1	1	1	0.531	LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_180018600, LINF_270020760, LINF_300006300, LINF_300037500, LINF_310038200, LINF_340026200, LINF_360068900
GO:0055082	BP	e	intracellular chemical homeostasis	3/329	6/2624	0.0292	3	3	1	1	1	0.531	LINF_100013850, LINF_100013900, LINF_310018700
GO:0170039	BP	e	proteinogenic amino acid metabolic process	3/329	6/2624	0.0292	6	3	1	1	1	0.531	LINF_060013000, LINF_300036400, LINF_360030700
GO:0170033	BP	e	L-amino acid metabolic process	3/329	6/2624	0.0292	7	3	1	1	1	0.531	LINF_060013000, LINF_300036400, LINF_360030700
GO:0044255	BP	e	cellular lipid metabolic process	14/329	63/2624	0.0312	4	14	1	1	1	0.559	LINF_120006700, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_180018600, LINF_270020760, LINF_300006300, LINF_300037500, LINF_310038200, LINF_340026200, LINF_360027400, LINF_360068900
GO:0043412	BP	e	macromolecule modification    	16/329	77/2624	0.0349	3	16	1	1	1	0.561	LINF_090022400, LINF_110017100, LINF_190006600, LINF_210006700, LINF_210012200, LINF_210022400, LINF_250030000, LINF_280026600, LINF_280027400, LINF_290015200, LINF_300027100, LINF_340015200, LINF_340026700, LINF_340027100, LINF_360012800, LINF_360014300
GO:0046394	BP	e	carboxylic acid biosynthetic process	6/329	21/2624	0.039	6	6	1	1	1	0.561	LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_300036400
GO:0016053	BP	e	organic acid biosynthetic process	6/329	21/2624	0.039	4	6	1	1	1	0.561	LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_300036400
GO:0051234	BP	e	establishment of localization 	21/329	110/2624	0.0394	2	21	1	1	1	0.561	LINF_020009800, LINF_060016800, LINF_100008900, LINF_100013850, LINF_100013900, LINF_110011200, LINF_110012200, LINF_110012300, LINF_110017100, LINF_140021100, LINF_150020900, LINF_180009000, LINF_210007900, LINF_210022400, LINF_240008300, LINF_240008400, LINF_250030000, LINF_270024400, LINF_290012400, LINF_310005100, LINF_330010700
GO:1901615	BP	e	organic hydroxy compound metabolic process	5/329	16/2624	0.0406	2	5	1	1	1	0.561	LINF_120006700, LINF_250017300, LINF_280007300, LINF_300028900, LINF_310038200
GO:0006066	BP	e	alcohol metabolic process     	5/329	16/2624	0.0406	3	5	1	1	1	0.561	LINF_120006700, LINF_250017300, LINF_280007300, LINF_300028900, LINF_310038200
GO:0006166	BP	e	purine ribonucleoside salvage 	2/329	3/2624	0.0431	9	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0055074	BP	e	calcium ion homeostasis       	2/329	3/2624	0.0431	5	2	1	1	1	0.561	LINF_310018700, LINF_340005600
GO:0042455	BP	e	ribonucleoside biosynthetic process	2/329	3/2624	0.0431	7	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0046129	BP	e	purine ribonucleoside biosynthetic process	2/329	3/2624	0.0431	8	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0046128	BP	e	purine ribonucleoside metabolic process	2/329	3/2624	0.0431	7	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0043174	BP	e	nucleoside salvage            	2/329	3/2624	0.0431	7	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0009163	BP	e	nucleoside biosynthetic process	2/329	3/2624	0.0431	6	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0034404	BP	e	nucleobase-containing small molecule biosynthetic process	2/329	3/2624	0.0431	5	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0006842	BP	e	tricarboxylic acid transport  	2/329	3/2624	0.0431	6	2	1	1	1	0.561	LINF_110012200, LINF_110012300
GO:1901659	BP	e	glycosyl compound biosynthetic process	2/329	3/2624	0.0431	4	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0015746	BP	e	citrate transport             	2/329	3/2624	0.0431	7	2	1	1	1	0.561	LINF_110012200, LINF_110012300
GO:1901657	BP	e	glycosyl compound metabolic process	2/329	3/2624	0.0431	3	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0042278	BP	e	purine nucleoside metabolic process	2/329	3/2624	0.0431	6	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0003333	BP	e	amino acid transmembrane transport	2/329	3/2624	0.0431	5	2	1	1	1	0.561	LINF_100013850, LINF_100013900
GO:0042451	BP	e	purine nucleoside biosynthetic process	2/329	3/2624	0.0431	7	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0051606	BP	e	detection of stimulus         	2/329	3/2624	0.0431	2	2	1	1	1	0.561	LINF_280005800, LINF_310005100
GO:0009116	BP	e	nucleoside metabolic process  	2/329	3/2624	0.0431	5	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0009119	BP	e	ribonucleoside metabolic process	2/329	3/2624	0.0431	6	2	1	1	1	0.561	LINF_290035800, LINF_360026000
GO:0008152	BP	e	metabolic process             	55/329	344/2624	0.0442	1	55	1	1	1	0.561	LINF_060013000, LINF_080016900, LINF_090022400, LINF_110007000, LINF_110017100, LINF_120006700, LINF_130007000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_150005500, LINF_160010400, LINF_180018600, LINF_180021400, LINF_180022300, LINF_190006600, LINF_210006700, LINF_210007900, LINF_210012200, LINF_210014700, LINF_210022400, LINF_250017300, LINF_250020700, LINF_250030000, LINF_270020760, LINF_280005800, LINF_280007300, LINF_280026200, LINF_280026600, LINF_280027400, LINF_280032200, LINF_290015200, LINF_290035800, LINF_300006300, LINF_300027100, LINF_300028900, LINF_300036400, LINF_300037500, LINF_310038200, LINF_320017100, LINF_320025500, LINF_340005600, LINF_340015200, LINF_340026200, LINF_340026700, LINF_340027100, LINF_340039400, LINF_360012800, LINF_360014300, LINF_360026000, LINF_360027400, LINF_360030700, LINF_360068900
GO:0090304	BP	p	nucleic acid metabolic process	5/329	108/2624	0.00734	4	5	1	1	1	0.302	LINF_090022400, LINF_210012200, LINF_250020700, LINF_280027400, LINF_320017100
GO:0000139	CC	e	Golgi membrane                	4/329	5/2624	0.0011	5	4	0.319	0.311	0.314	0.0597	LINF_180009000, LINF_240008300, LINF_240008400, LINF_310018700
GO:0016020	CC	e	membrane                      	30/329	139/2624	0.00218	2	30	0.634	0.618	0.617	0.0705	LINF_020009800, LINF_060016800, LINF_070005800, LINF_080016900, LINF_100008900, LINF_100013850, LINF_100013900, LINF_110012200, LINF_110012300, LINF_110017100, LINF_140021100, LINF_180009000, LINF_190010200, LINF_210022400, LINF_240008300, LINF_240008400, LINF_250020900, LINF_250030000, LINF_260023900, LINF_280026600, LINF_290028700, LINF_290034100, LINF_310005100, LINF_310018700, LINF_310038200, LINF_320025500, LINF_330038800, LINF_340026700, LINF_340038800, LINF_360027400
GO:0020022	CC	e	acidocalcisome                	8/329	21/2624	0.0026	5	8	0.757	0.738	0.734	0.0757	LINF_020009800, LINF_110007000, LINF_190007800, LINF_270009800, LINF_270018900, LINF_310018700, LINF_340046600, LINF_360032100
GO:0098588	CC	e	bounding membrane of organelle	16/329	65/2624	0.00663	4	16	1	1	1	0.175	LINF_020009800, LINF_060016800, LINF_070005800, LINF_180009000, LINF_190010200, LINF_240008300, LINF_240008400, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310005100, LINF_310018700, LINF_310038200, LINF_330038800, LINF_340038800
GO:0031090	CC	e	organelle membrane            	20/329	87/2624	0.00738	3	20	1	1	1	0.179	LINF_020009800, LINF_060016800, LINF_070005800, LINF_080016900, LINF_140021100, LINF_180009000, LINF_190010200, LINF_240008300, LINF_240008400, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310005100, LINF_310018700, LINF_310038200, LINF_330038800, LINF_340026700, LINF_340038800, LINF_360027400
GO:0099568	CC	e	cytoplasmic region            	53/329	314/2624	0.0178	3	53	1	1	1	0.325	LINF_010010100, LINF_050005900, LINF_050017400, LINF_070013000, LINF_070018200, LINF_100017200, LINF_130011500, LINF_140008500, LINF_150007200, LINF_160010400, LINF_160013000, LINF_180005700, LINF_190008500, LINF_210013900, LINF_210021500, LINF_220013600, LINF_230010500, LINF_230010700, LINF_230014800, LINF_230025500, LINF_240012700, LINF_240012800, LINF_240019300, LINF_250007000, LINF_270020900, LINF_270027100, LINF_270027400, LINF_280022200, LINF_290015200, LINF_290021100, LINF_290023500, LINF_290032200, LINF_290032800, LINF_300014400, LINF_300038700, LINF_300040800, LINF_300041000, LINF_320015100, LINF_320044000, LINF_330012300, LINF_330022100, LINF_340006100, LINF_340029500, LINF_340037350, LINF_350017400, LINF_350037700, LINF_350038800, LINF_350045100, LINF_350045600, LINF_360012800, LINF_360017400, LINF_360031600, LINF_360072500
GO:0032838	CC	e	plasma membrane bounded cell projection cytoplasm	53/329	314/2624	0.0178	4	53	1	1	1	0.325	LINF_010010100, LINF_050005900, LINF_050017400, LINF_070013000, LINF_070018200, LINF_100017200, LINF_130011500, LINF_140008500, LINF_150007200, LINF_160010400, LINF_160013000, LINF_180005700, LINF_190008500, LINF_210013900, LINF_210021500, LINF_220013600, LINF_230010500, LINF_230010700, LINF_230014800, LINF_230025500, LINF_240012700, LINF_240012800, LINF_240019300, LINF_250007000, LINF_270020900, LINF_270027100, LINF_270027400, LINF_280022200, LINF_290015200, LINF_290021100, LINF_290023500, LINF_290032200, LINF_290032800, LINF_300014400, LINF_300038700, LINF_300040800, LINF_300041000, LINF_320015100, LINF_320044000, LINF_330012300, LINF_330022100, LINF_340006100, LINF_340029500, LINF_340037350, LINF_350017400, LINF_350037700, LINF_350038800, LINF_350045100, LINF_350045600, LINF_360012800, LINF_360017400, LINF_360031600, LINF_360072500
GO:0097014	CC	e	ciliary plasm                 	53/329	314/2624	0.0178	5	53	1	1	1	0.325	LINF_010010100, LINF_050005900, LINF_050017400, LINF_070013000, LINF_070018200, LINF_100017200, LINF_130011500, LINF_140008500, LINF_150007200, LINF_160010400, LINF_160013000, LINF_180005700, LINF_190008500, LINF_210013900, LINF_210021500, LINF_220013600, LINF_230010500, LINF_230010700, LINF_230014800, LINF_230025500, LINF_240012700, LINF_240012800, LINF_240019300, LINF_250007000, LINF_270020900, LINF_270027100, LINF_270027400, LINF_280022200, LINF_290015200, LINF_290021100, LINF_290023500, LINF_290032200, LINF_290032800, LINF_300014400, LINF_300038700, LINF_300040800, LINF_300041000, LINF_320015100, LINF_320044000, LINF_330012300, LINF_330022100, LINF_340006100, LINF_340029500, LINF_340037350, LINF_350017400, LINF_350037700, LINF_350038800, LINF_350045100, LINF_350045600, LINF_360012800, LINF_360017400, LINF_360031600, LINF_360072500
GO:0020015	CC	e	glycosome                     	14/329	63/2624	0.0312	7	14	1	1	1	0.478	LINF_100011800, LINF_160010400, LINF_170014800, LINF_180010400, LINF_210007900, LINF_210020600, LINF_270009800, LINF_290012400, LINF_290035800, LINF_300006300, LINF_340040800, LINF_350036100, LINF_360030300, LINF_360073900
GO:0005777	CC	e	peroxisome                    	14/329	63/2624	0.0312	6	14	1	1	1	0.478	LINF_100011800, LINF_160010400, LINF_170014800, LINF_180010400, LINF_210007900, LINF_210020600, LINF_270009800, LINF_290012400, LINF_290035800, LINF_300006300, LINF_340040800, LINF_350036100, LINF_360030300, LINF_360073900
GO:0042579	CC	e	microbody                     	14/329	66/2624	0.0381	5	14	1	1	1	0.503	LINF_100011800, LINF_160010400, LINF_170014800, LINF_180010400, LINF_210007900, LINF_210020600, LINF_270009800, LINF_290012400, LINF_290035800, LINF_300006300, LINF_340040800, LINF_350036100, LINF_360030300, LINF_360073900
GO:0005783	CC	e	endoplasmic reticulum         	13/329	58/2624	0.0414	5	13	1	1	1	0.503	LINF_150020900, LINF_290010600, LINF_300030900, LINF_300042700, LINF_320009500, LINF_320022600, LINF_340005600, LINF_340025100, LINF_350016000, LINF_350016200, LINF_360032800, LINF_360044300, LINF_360068900
GO:0005576	CC	e	extracellular region          	2/329	3/2624	0.0431	2	2	1	1	1	0.503	LINF_190010600, LINF_360061700
GO:0031966	CC	e	mitochondrial membrane        	11/329	48/2624	0.0435	4	11	1	1	1	0.503	LINF_020009800, LINF_060016800, LINF_080016900, LINF_140021100, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310038200, LINF_330038800, LINF_340038800
GO:0005741	CC	e	mitochondrial outer membrane  	9/329	38/2624	0.0467	6	9	1	1	1	0.503	LINF_020009800, LINF_060016800, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310038200, LINF_330038800, LINF_340038800
GO:0031968	CC	e	organelle outer membrane      	9/329	38/2624	0.0467	5	9	1	1	1	0.503	LINF_020009800, LINF_060016800, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310038200, LINF_330038800, LINF_340038800
GO:0019867	CC	e	outer membrane                	9/329	38/2624	0.0467	3	9	1	1	1	0.503	LINF_020009800, LINF_060016800, LINF_250020900, LINF_260023900, LINF_290028700, LINF_290034100, LINF_310038200, LINF_330038800, LINF_340038800
GO:0005730	CC	p	nucleolus                     	10/329	211/2624	0.000126	5	10	0.0366	0.0357	0.0366	0.0266	LINF_080009800, LINF_170014800, LINF_170020500, LINF_190010300, LINF_220005800, LINF_300017900, LINF_320009900, LINF_350035900, LINF_360028400, LINF_360051300
GO:0005930	CC	p	axoneme                       	8/329	184/2624	0.000183	2	8	0.0533	0.0519	0.0531	0.0266	LINF_100019200, LINF_110008800, LINF_130009500, LINF_140018600, LINF_150023000, LINF_300037300, LINF_350045100, LINF_350045600
GO:0043232	CC	p	intracellular non-membrane-bounded organelle	18/329	273/2624	0.000996	4	18	0.29	0.282	0.288	0.0597	LINF_080009800, LINF_150005500, LINF_170014800, LINF_170020500, LINF_190010300, LINF_190011700, LINF_190011800, LINF_220005800, LINF_270018900, LINF_270024400, LINF_280026600, LINF_280032200, LINF_300017900, LINF_320009900, LINF_330030300, LINF_350035900, LINF_360028400, LINF_360051300
GO:0043228	CC	p	non-membrane-bounded organelle	18/329	273/2624	0.000996	3	18	0.29	0.282	0.288	0.0597	LINF_080009800, LINF_150005500, LINF_170014800, LINF_170020500, LINF_190010300, LINF_190011700, LINF_190011800, LINF_220005800, LINF_270018900, LINF_270024400, LINF_280026600, LINF_280032200, LINF_300017900, LINF_320009900, LINF_330030300, LINF_350035900, LINF_360028400, LINF_360051300
GO:0042995	CC	p	cell projection               	3/329	98/2624	0.00164	2	3	0.478	0.466	0.47	0.0597	LINF_020011000, LINF_170019300, LINF_320032200
GO:0005929	CC	p	cilium                        	3/329	98/2624	0.00164	4	3	0.478	0.466	0.47	0.0597	LINF_020011000, LINF_170019300, LINF_320032200
GO:0120025	CC	p	plasma membrane bounded cell projection	3/329	98/2624	0.00164	3	3	0.478	0.466	0.47	0.0597	LINF_020011000, LINF_170019300, LINF_320032200
