qseqid,sseqid,pident,qstart,qend,sstart,send,evalue,bitscore,length,qlen,qcovs,slen
Seq_190_LinJ.16,LinJ.16,97.119,86,328,39324,39566,4.3799999999999996e-114,411.0,243,770,100,688184
Seq_102_LinJ.09,LinJ.09,98.268,1,230,229581,229351,6.81e-112,403.0,231,717,100,581924
Seq_190_LinJ.16,LinJ.16,92.361,86,373,16886,17163,2.64e-111,401.0,288,770,100,688184
Seq_102_LinJ.09,LinJ.09,99.541,13,230,219028,218811,3.1700000000000003e-110,398.0,218,717,100,581924
Seq_189_LinJ.16,LinJ.16,95.902,86,329,39324,39566,4.41e-109,394.0,244,770,100,688184
Seq_26_LinJ.04,LinJ.04,98.63,1,219,363076,362858,1.4e-107,388.0,219,531,100,466507
Seq_189_LinJ.16,LinJ.16,91.349,86,374,16886,17163,2.66e-106,385.0,289,770,100,688184
Seq_28_LinJ.04,LinJ.04,98.611,1,216,394441,394656,7.19e-106,383.0,216,585,100,466507
Seq_29_LinJ.04,LinJ.04,98.611,1,216,391322,391537,7.19e-106,383.0,216,585,100,466507
Seq_190_LinJ.16,LinJ.16,94.783,77,305,60238,60465,2.08e-97,355.0,230,770,100,688184
Seq_189_LinJ.16,LinJ.16,94.348,77,306,60238,60465,2.69e-96,351.0,230,770,100,688184
Seq_26_LinJ.04,LinJ.04,97.436,1,195,394441,394635,6.64e-91,333.0,195,531,100,466507
Seq_26_LinJ.04,LinJ.04,97.436,1,195,391322,391516,6.64e-91,333.0,195,531,100,466507
Seq_28_LinJ.04,LinJ.04,97.436,1,195,331481,331675,7.35e-91,333.0,195,585,100,466507
Seq_29_LinJ.04,LinJ.04,97.436,1,195,331481,331675,7.35e-91,333.0,195,585,100,466507
Seq_190_LinJ.16,LinJ.16,96.078,86,289,20795,20997,3.51e-90,331.0,204,770,100,688184
Seq_28_LinJ.04,LinJ.04,95.588,1,204,363076,362873,3.4199999999999994e-89,327.0,204,585,100,466507
Seq_29_LinJ.04,LinJ.04,96.923,1,195,363076,362882,3.4199999999999994e-89,327.0,195,585,100,466507
Seq_189_LinJ.16,LinJ.16,95.098,86,289,20795,20997,7.6e-87,320.0,204,770,100,688184
Seq_206_LinJ.17,LinJ.17,100.0,1,162,638017,638178,1.85e-81,300.0,162,162,100,690898
Seq_279_LinJ.24,LinJ.24,100.0,1,157,425107,425263,1.07e-78,291.0,157,157,100,863815
Seq_281_LinJ.24,LinJ.24,100.0,1,155,427473,427627,1.37e-77,287.0,155,155,100,863815
Seq_281_LinJ.24,LinJ.24,100.0,1,155,425109,425263,1.37e-77,287.0,155,155,100,863815
Seq_281_LinJ.24,LinJ.24,100.0,1,155,429834,429988,1.37e-77,287.0,155,155,100,863815
Seq_280_LinJ.24,LinJ.24,100.0,1,155,425109,425263,1.37e-77,287.0,155,155,100,863815
Seq_280_LinJ.24,LinJ.24,100.0,1,155,427473,427627,1.37e-77,287.0,155,155,100,863815
Seq_280_LinJ.24,LinJ.24,100.0,1,155,429834,429988,1.37e-77,287.0,155,155,100,863815
Seq_279_LinJ.24,LinJ.24,100.0,3,157,427473,427627,1.3900000000000001e-77,287.0,155,157,100,863815
Seq_279_LinJ.24,LinJ.24,100.0,3,157,429834,429988,1.3900000000000001e-77,287.0,155,157,100,863815
Seq_279_LinJ.24,LinJ.24,99.363,1,157,386177,386333,4.98e-77,285.0,157,157,100,863815
Seq_207_LinJ.17,LinJ.17,100.0,1,152,643964,644115,6.21e-76,281.0,152,152,100,690898
Seq_281_LinJ.24,LinJ.24,99.355,1,155,386179,386333,6.35e-76,281.0,155,155,100,863815
Seq_280_LinJ.24,LinJ.24,99.355,1,155,386179,386333,6.35e-76,281.0,155,155,100,863815
Seq_206_LinJ.17,LinJ.17,98.734,5,162,643958,644115,6.69e-76,281.0,158,162,100,690898
Seq_13_LinJ.03,LinJ.03,100.0,1,151,237552,237702,2.22e-75,279.0,151,151,100,389657
Seq_206_LinJ.17,LinJ.17,97.531,1,162,626819,626980,8.65e-75,278.0,162,162,100,690898
Seq_207_LinJ.17,LinJ.17,99.342,1,152,638027,638178,2.89e-74,276.0,152,152,100,690898
Seq_207_LinJ.17,LinJ.17,99.342,1,152,674759,674910,2.89e-74,276.0,152,152,100,690898
Seq_206_LinJ.17,LinJ.17,98.101,5,162,674753,674910,3.1099999999999997e-74,276.0,158,162,100,690898
Seq_205_LinJ.17,LinJ.17,100.0,1,146,594954,595099,1.28e-72,270.0,146,146,100,690898
Seq_207_LinJ.17,LinJ.17,98.684,1,152,626829,626980,1.34e-72,270.0,152,152,100,690898
Seq_205_LinJ.17,LinJ.17,99.315,1,146,638033,638178,5.96e-71,265.0,146,146,100,690898
Seq_205_LinJ.17,LinJ.17,99.315,1,146,626835,626980,5.96e-71,265.0,146,146,100,690898
Seq_205_LinJ.17,LinJ.17,99.315,1,146,643970,644115,5.96e-71,265.0,146,146,100,690898
Seq_207_LinJ.17,LinJ.17,99.315,7,152,594954,595099,6.25e-71,265.0,146,152,100,690898
Seq_206_LinJ.17,LinJ.17,99.315,17,162,594954,595099,6.74e-71,265.0,146,162,100,690898
Seq_205_LinJ.17,LinJ.17,98.63,1,146,674765,674910,2.7699999999999997e-69,259.0,146,146,100,690898
Seq_294_LinJ.25,LinJ.25,100.0,1,139,873696,873834,9.49e-69,257.0,139,139,100,895083
Seq_681_LinJ.36,LinJ.36,86.275,1,200,791283,791483,2.9e-55,215.0,204,610,100,2743073
Seq_681_LinJ.36,LinJ.36,86.598,1,190,727373,727563,4.85e-53,207.0,194,610,100,2743073
Seq_671_LinJ.36,LinJ.36,100.0,1,101,319917,320017,8.529999999999999e-48,187.0,101,101,100,2743073
Seq_671_LinJ.36,LinJ.36,100.0,3,101,315595,315693,1.1e-46,183.0,99,101,100,2743073
Seq_189_LinJ.16,LinJ.16,94.118,1,100,59972,60071,2.93e-36,152.0,102,770,100,688184
Seq_190_LinJ.16,LinJ.16,94.118,1,100,59972,60071,2.93e-36,152.0,102,770,100,688184
Seq_671_LinJ.36,LinJ.36,98.462,37,101,329921,329857,4.08e-26,115.0,65,101,100,2743073
Seq_378_LinJ.29,LinJ.29,81.752,18,153,676508,676372,1.03e-24,113.0,137,576,100,1272419
Seq_378_LinJ.29,LinJ.29,83.333,18,136,698562,698681,1.3299999999999998e-23,110.0,120,576,100,1272419
Seq_646_LinJ.35,LinJ.35,84.034,120,235,385963,385847,1.5699999999999997e-23,110.0,119,677,100,2019672
Seq_646_LinJ.35,LinJ.35,83.898,120,235,409424,409539,1.5699999999999997e-23,110.0,118,677,100,2019672
Seq_646_LinJ.35,LinJ.35,83.898,120,235,349321,349206,1.5699999999999997e-23,110.0,118,677,100,2019672
Seq_646_LinJ.35,LinJ.35,83.898,120,235,360806,360921,1.5699999999999997e-23,110.0,118,677,100,2019672
Seq_340_LinJ.28,LinJ.22,75.391,1,243,656596,656344,1.5899999999999998e-23,110.0,256,686,41,782154
Seq_378_LinJ.29,LinJ.29,83.784,18,127,692101,692211,6.17e-22,104.0,111,576,100,1272419
Seq_340_LinJ.28,LinJ.22,75.304,10,243,592637,592880,7.4e-22,104.0,247,686,41,782154
Seq_378_LinJ.29,LinJ.29,100.0,1,55,716239,716293,2.2200000000000002e-21,102.0,55,576,100,1272419
Seq_13_LinJ.03,LinJ.03,92.308,87,151,260642,260706,3.1e-19,93.5,65,151,100,389657
Seq_340_LinJ.28,LinJ.36,72.178,10,372,985140,985512,1.6e-18,93.5,381,686,57,2743073
Seq_189_LinJ.16,LinJ.16,93.651,12,73,39290,39352,1.8e-18,93.5,63,770,100,688184
Seq_190_LinJ.16,LinJ.16,93.651,12,73,39290,39352,1.8e-18,93.5,63,770,100,688184
Seq_340_LinJ.28,LinJ.36,74.439,125,341,1031276,1031060,2.68e-16,86.1,223,686,57,2743073
Seq_189_LinJ.16,LinJ.35,72.698,118,421,409337,409638,1.09e-15,84.2,315,770,40,2019672
Seq_189_LinJ.16,LinJ.35,72.698,118,421,360719,361020,1.09e-15,84.2,315,770,40,2019672
Seq_190_LinJ.16,LinJ.15,90.476,310,370,560454,560516,3.9e-15,82.4,63,770,20,650324
Seq_190_LinJ.16,LinJ.15,90.476,310,370,585049,584987,3.9e-15,82.4,63,770,20,650324
Seq_190_LinJ.16,LinJ.15,90.476,310,370,620137,620199,3.9e-15,82.4,63,770,20,650324
Seq_189_LinJ.16,LinJ.15,90.476,311,371,620137,620199,3.9e-15,82.4,63,770,14,650324
Seq_189_LinJ.16,LinJ.15,90.476,311,371,560454,560516,3.9e-15,82.4,63,770,14,650324
Seq_189_LinJ.16,LinJ.15,90.476,311,371,585049,584987,3.9e-15,82.4,63,770,14,650324
Seq_294_LinJ.25,LinJ.30,78.295,1,126,489462,489588,7.93e-15,78.7,129,139,96,1353302
Seq_294_LinJ.25,LinJ.30,78.295,1,126,495636,495762,7.93e-15,78.7,129,139,96,1353302
Seq_294_LinJ.25,LinJ.30,78.295,1,126,361872,361998,7.93e-15,78.7,129,139,96,1353302
Seq_190_LinJ.16,LinJ.16,87.143,4,73,20753,20822,1.4e-14,80.5,70,770,100,688184
Seq_189_LinJ.16,LinJ.16,87.143,4,73,20753,20822,1.4e-14,80.5,70,770,100,688184
Seq_13_LinJ.03,LinJ.30,91.071,96,151,1007846,1007791,3.12e-14,76.8,56,151,87,1353302
Seq_13_LinJ.03,LinJ.30,91.071,96,151,1025878,1025823,3.12e-14,76.8,56,151,87,1353302
Seq_681_LinJ.36,LinJ.29,80.18,102,209,1071997,1072104,3.97e-14,78.7,111,610,34,1272419
Seq_681_LinJ.36,LinJ.23,74.519,12,207,580382,580587,3.97e-14,78.7,208,610,37,786683
Seq_11_LinJ.02,LinJ.29,82.105,176,270,369577,369486,4.14e-14,78.7,95,635,33,1272419
Seq_11_LinJ.02,LinJ.29,81.188,170,270,334129,334226,4.14e-14,78.7,101,635,33,1272419
Seq_11_LinJ.02,LinJ.29,81.188,170,270,326532,326629,4.14e-14,78.7,101,635,33,1272419
Seq_11_LinJ.02,LinJ.29,82.105,176,270,381115,381024,4.14e-14,78.7,95,635,33,1272419
Seq_11_LinJ.02,LinJ.29,81.188,170,270,332386,332483,4.14e-14,78.7,101,635,33,1272419
Seq_11_LinJ.02,LinJ.29,82.105,176,270,360747,360656,4.14e-14,78.7,95,635,33,1272419
Seq_11_LinJ.02,LinJ.29,82.105,176,270,343616,343525,4.14e-14,78.7,95,635,33,1272419
Seq_646_LinJ.35,LinJ.35,80.0,126,235,270184,270079,4.42e-14,78.7,110,677,100,2019672
Seq_340_LinJ.28,LinJ.14,80.583,269,371,430402,430503,4.49e-14,78.7,103,686,27,656132
Seq_190_LinJ.16,LinJ.35,72.524,121,420,386047,385748,5.05e-14,78.7,313,770,66,2019672
Seq_189_LinJ.16,LinJ.35,72.436,121,421,386047,385748,5.05e-14,78.7,312,770,40,2019672
Seq_681_LinJ.36,LinJ.23,74.51,12,203,503392,503594,1.43e-13,76.8,204,610,37,786683
Seq_190_LinJ.16,LinJ.35,72.468,118,420,360719,361020,1.82e-13,76.8,316,770,66,2019672
Seq_190_LinJ.16,LinJ.35,72.468,118,420,409337,409638,1.82e-13,76.8,316,770,66,2019672
Seq_294_LinJ.25,LinJ.33,77.206,1,135,538470,538599,3.69e-13,73.1,136,139,97,1532318
Seq_646_LinJ.35,LinJ.13,81.053,2,94,65385,65479,5.72e-13,75.0,95,677,30,659814
Seq_646_LinJ.35,LinJ.13,81.053,2,94,60560,60654,5.72e-13,75.0,95,677,30,659814
Seq_280_LinJ.24,LinJ.29,78.814,12,126,1110597,1110708,1.5e-12,71.3,118,155,95,1272419
Seq_281_LinJ.24,LinJ.29,78.814,12,126,1110597,1110708,1.5e-12,71.3,118,155,95,1272419
Seq_279_LinJ.24,LinJ.29,77.863,1,128,1110586,1110708,1.52e-12,71.3,131,157,96,1272419
Seq_340_LinJ.28,LinJ.22,78.704,144,251,311606,311499,2.09e-12,73.1,108,686,41,782154
Seq_340_LinJ.28,LinJ.22,79.048,144,248,398806,398910,2.09e-12,73.1,105,686,41,782154
Seq_340_LinJ.28,LinJ.22,78.704,144,251,303538,303431,2.09e-12,73.1,108,686,41,782154
Seq_340_LinJ.28,LinJ.22,78.704,144,251,263136,263029,2.09e-12,73.1,108,686,41,782154
Seq_340_LinJ.28,LinJ.22,78.704,144,251,319050,318943,2.09e-12,73.1,108,686,41,782154
Seq_681_LinJ.36,LinJ.25,76.515,15,145,310192,310061,6.64e-12,71.3,132,610,31,895083
Seq_27_LinJ.04,LinJ.05,87.5,299,360,227808,227869,7.13e-12,71.3,64,653,22,467714
Seq_400_LinJ.31,LinJ.35,81.928,270,352,1376976,1377058,7.31e-12,71.3,83,669,41,2019672
Seq_294_LinJ.25,LinJ.33,76.471,1,135,490331,490460,1.72e-11,67.6,136,139,97,1532318
Seq_294_LinJ.25,LinJ.30,78.07,25,134,991728,991839,1.72e-11,67.6,114,139,96,1353302
Seq_294_LinJ.25,LinJ.25,86.667,80,139,762120,762061,1.72e-11,67.6,60,139,100,895083
Seq_294_LinJ.25,LinJ.09,80.435,5,95,560739,560651,1.72e-11,67.6,92,139,68,581924
Seq_400_LinJ.31,LinJ.31,75.168,1,148,100311,100459,2.63e-11,69.4,149,669,100,1529246
Seq_400_LinJ.31,LinJ.29,78.641,79,181,895955,896057,2.63e-11,69.4,103,669,27,1272419
Seq_646_LinJ.35,LinJ.13,80.899,8,94,26202,26290,2.66e-11,69.4,89,677,30,659814
Seq_340_LinJ.28,LinJ.36,76.984,243,366,1210617,1210741,2.7e-11,69.4,126,686,57,2743073
Seq_102_LinJ.09,LinJ.17,78.947,162,273,430162,430057,2.82e-11,69.4,114,717,20,690898
Seq_190_LinJ.16,LinJ.31,77.692,115,242,903565,903684,3.04e-11,69.4,130,770,41,1529246
Seq_190_LinJ.16,LinJ.04,72.761,109,373,19092,19338,3.04e-11,69.4,268,770,44,466507
Seq_189_LinJ.16,LinJ.31,77.692,115,242,886391,886510,3.04e-11,69.4,130,770,36,1529246
Seq_190_LinJ.16,LinJ.04,72.761,109,373,7780,7534,3.04e-11,69.4,268,770,44,466507
Seq_189_LinJ.16,LinJ.31,77.692,115,242,910345,910464,3.04e-11,69.4,130,770,36,1529246
Seq_190_LinJ.16,LinJ.31,77.692,115,242,886391,886510,3.04e-11,69.4,130,770,41,1529246
Seq_189_LinJ.16,LinJ.31,77.692,115,242,903565,903684,3.04e-11,69.4,130,770,36,1529246
Seq_190_LinJ.16,LinJ.31,77.692,115,242,910345,910464,3.04e-11,69.4,130,770,41,1529246
Seq_294_LinJ.25,LinJ.30,78.182,29,134,963460,963352,6.17e-11,65.8,110,139,96,1353302
Seq_294_LinJ.25,LinJ.30,78.182,29,134,955934,955826,6.17e-11,65.8,110,139,96,1353302
Seq_205_LinJ.17,LinJ.18,82.667,65,138,266983,267057,6.49e-11,65.8,75,146,64,720431
Seq_207_LinJ.17,LinJ.18,82.667,71,144,266983,267057,6.81e-11,65.8,75,152,59,720431
Seq_279_LinJ.24,LinJ.29,77.273,2,131,1048608,1048488,7.07e-11,65.8,132,157,96,1272419
Seq_206_LinJ.17,LinJ.18,82.667,81,154,266983,267057,7.33e-11,65.8,75,162,62,720431
Seq_211_LinJ.18,LinJ.11,83.562,143,213,555862,555790,7.89e-11,67.6,73,562,13,568611
Seq_211_LinJ.18,LinJ.20,82.278,137,214,441631,441709,7.89e-11,67.6,79,562,36,731244
Seq_211_LinJ.18,LinJ.20,83.562,143,214,433102,433030,7.89e-11,67.6,73,562,36,731244
Seq_211_LinJ.18,LinJ.20,82.278,137,214,449886,449964,7.89e-11,67.6,79,562,36,731244
Seq_211_LinJ.18,LinJ.35,83.117,137,213,270388,270460,7.89e-11,67.6,77,562,21,2019672
Seq_211_LinJ.18,LinJ.11,83.562,143,213,528105,528177,7.89e-11,67.6,73,562,13,568611
Seq_681_LinJ.36,LinJ.23,75.912,15,149,574594,574460,8.6e-11,67.6,137,610,37,786683
Seq_681_LinJ.36,LinJ.23,75.912,15,149,570874,570740,8.6e-11,67.6,137,610,37,786683
Seq_681_LinJ.36,LinJ.23,75.714,12,149,561191,561328,8.6e-11,67.6,140,610,37,786683
Seq_646_LinJ.35,LinJ.35,91.667,221,268,385772,385725,9.58e-11,67.6,48,677,100,2019672
Seq_340_LinJ.28,LinJ.15,72.973,125,342,518208,517995,9.71e-11,67.6,222,686,35,650324
Seq_102_LinJ.09,LinJ.18,82.143,223,301,147160,147243,1.02e-10,67.6,84,717,22,720431
Seq_281_LinJ.24,LinJ.29,77.099,1,129,1048607,1048488,2.5e-10,63.9,131,155,95,1272419
Seq_280_LinJ.24,LinJ.29,77.099,1,129,1048607,1048488,2.5e-10,63.9,131,155,95,1272419
Seq_279_LinJ.24,LinJ.29,76.692,2,131,1077911,1077787,2.54e-10,63.9,133,157,96,1272419
Seq_279_LinJ.24,LinJ.29,76.692,2,131,1083489,1083365,2.54e-10,63.9,133,157,96,1272419
Seq_400_LinJ.31,LinJ.35,82.051,273,349,1346415,1346338,3.4e-10,65.8,78,669,41,2019672
Seq_340_LinJ.28,LinJ.33,91.489,52,98,837550,837504,3.49e-10,65.8,47,686,21,1532318
Seq_205_LinJ.17,LinJ.18,83.333,65,130,115430,115495,8.39e-10,62.1,66,146,64,720431
Seq_205_LinJ.17,LinJ.18,81.579,65,138,56434,56359,8.39e-10,62.1,76,146,64,720431
Seq_205_LinJ.17,LinJ.18,81.579,65,138,69214,69139,8.39e-10,62.1,76,146,64,720431
Seq_205_LinJ.17,LinJ.18,81.579,65,138,96258,96183,8.39e-10,62.1,76,146,64,720431
Seq_207_LinJ.17,LinJ.18,81.579,71,144,56434,56359,8.8e-10,62.1,76,152,59,720431
Seq_207_LinJ.17,LinJ.18,81.579,71,144,96258,96183,8.8e-10,62.1,76,152,59,720431
Seq_207_LinJ.17,LinJ.18,83.333,71,136,115430,115495,8.8e-10,62.1,66,152,59,720431
Seq_207_LinJ.17,LinJ.18,81.579,71,144,69214,69139,8.8e-10,62.1,76,152,59,720431
Seq_280_LinJ.24,LinJ.29,76.515,1,129,1077910,1077787,9.01e-10,62.1,132,155,95,1272419
Seq_281_LinJ.24,LinJ.29,76.515,1,129,1104395,1104272,9.01e-10,62.1,132,155,95,1272419
Seq_280_LinJ.24,LinJ.29,76.515,1,129,1104395,1104272,9.01e-10,62.1,132,155,95,1272419
Seq_280_LinJ.24,LinJ.35,76.984,5,126,1949564,1949682,9.01e-10,62.1,126,155,99,2019672
Seq_280_LinJ.24,LinJ.29,76.515,1,129,1083488,1083365,9.01e-10,62.1,132,155,95,1272419
Seq_281_LinJ.24,LinJ.29,76.515,1,129,1083488,1083365,9.01e-10,62.1,132,155,95,1272419
Seq_281_LinJ.24,LinJ.29,76.515,1,129,1077910,1077787,9.01e-10,62.1,132,155,95,1272419
Seq_281_LinJ.24,LinJ.35,76.984,5,126,1949564,1949682,9.01e-10,62.1,126,155,99,2019672
Seq_279_LinJ.24,LinJ.24,97.222,1,36,464256,464221,9.14e-10,62.1,36,157,100,863815
Seq_279_LinJ.24,LinJ.29,76.515,3,131,1104395,1104272,9.14e-10,62.1,132,157,96,1272419
Seq_279_LinJ.24,LinJ.24,97.222,1,36,459507,459542,9.14e-10,62.1,36,157,100,863815
Seq_279_LinJ.24,LinJ.35,76.984,7,128,1949564,1949682,9.14e-10,62.1,126,157,97,2019672
Seq_206_LinJ.17,LinJ.18,81.579,81,154,56434,56359,9.49e-10,62.1,76,162,62,720431
Seq_206_LinJ.17,LinJ.18,83.333,81,146,115430,115495,9.49e-10,62.1,66,162,62,720431
Seq_206_LinJ.17,LinJ.18,81.579,81,154,96258,96183,9.49e-10,62.1,76,162,62,720431
Seq_206_LinJ.17,LinJ.18,81.579,81,154,69214,69139,9.49e-10,62.1,76,162,62,720431
Seq_211_LinJ.18,LinJ.24,81.818,137,213,747465,747391,1.02e-09,63.9,77,562,36,863815
Seq_211_LinJ.18,LinJ.24,81.818,137,213,730167,730093,1.02e-09,63.9,77,562,36,863815
Seq_211_LinJ.18,LinJ.24,81.818,137,213,705468,705394,1.02e-09,63.9,77,562,36,863815
Seq_378_LinJ.29,LinJ.36,76.8,1,120,1063956,1064078,1.05e-09,63.9,125,576,25,2743073
Seq_378_LinJ.29,LinJ.35,85.075,17,81,648350,648412,1.05e-09,63.9,67,576,28,2019672
Seq_378_LinJ.29,LinJ.36,76.8,1,120,1112861,1112983,1.05e-09,63.9,125,576,25,2743073
Seq_681_LinJ.36,LinJ.35,75.573,15,145,534162,534033,1.11e-09,63.9,131,610,40,2019672
Seq_681_LinJ.36,LinJ.23,73.684,12,190,549297,549485,1.11e-09,63.9,190,610,37,786683
Seq_681_LinJ.36,LinJ.35,73.632,15,204,491916,492112,1.11e-09,63.9,201,610,40,2019672
Seq_681_LinJ.36,LinJ.23,73.684,12,190,545781,545969,1.11e-09,63.9,190,610,37,786683
Seq_646_LinJ.35,LinJ.11,85.714,126,188,256967,256908,1.24e-09,63.9,63,677,15,568611
Seq_646_LinJ.35,LinJ.11,85.714,126,188,281093,281034,1.24e-09,63.9,63,677,15,568611
Seq_646_LinJ.35,LinJ.30,73.399,6,200,729767,729570,1.24e-09,63.9,203,677,38,1353302
Seq_646_LinJ.35,LinJ.11,85.714,126,188,269968,269909,1.24e-09,63.9,63,677,15,568611
Seq_340_LinJ.28,LinJ.25,76.991,125,237,402150,402261,1.26e-09,63.9,113,686,47,895083
Seq_340_LinJ.28,LinJ.22,78.095,10,112,303683,303581,1.26e-09,63.9,105,686,41,782154
Seq_340_LinJ.28,LinJ.25,76.991,125,237,440671,440560,1.26e-09,63.9,113,686,47,895083
Seq_340_LinJ.28,LinJ.22,78.095,10,112,319195,319093,1.26e-09,63.9,105,686,41,782154
Seq_340_LinJ.28,LinJ.22,78.095,10,112,311751,311649,1.26e-09,63.9,105,686,41,782154
Seq_190_LinJ.16,LinJ.16,91.304,28,73,16868,16913,1.41e-09,63.9,46,770,100,688184
Seq_190_LinJ.16,LinJ.26,75.817,88,231,210358,210503,1.41e-09,63.9,153,770,36,1055293
Seq_190_LinJ.16,LinJ.26,75.676,88,231,270970,271109,1.41e-09,63.9,148,770,36,1055293
Seq_190_LinJ.16,LinJ.26,75.817,88,231,228919,228774,1.41e-09,63.9,153,770,36,1055293
Seq_190_LinJ.16,LinJ.26,75.817,88,231,169058,169203,1.41e-09,63.9,153,770,36,1055293
Seq_189_LinJ.16,LinJ.26,75.676,88,231,270970,271109,1.41e-09,63.9,148,770,38,1055293
Seq_189_LinJ.16,LinJ.26,75.817,88,231,234543,234688,1.41e-09,63.9,153,770,38,1055293
Seq_189_LinJ.16,LinJ.35,72.656,121,366,349405,349163,1.41e-09,63.9,256,770,40,2019672
Seq_189_LinJ.16,LinJ.16,91.304,28,73,16868,16913,1.41e-09,63.9,46,770,100,688184
Seq_189_LinJ.16,LinJ.26,75.817,88,231,169058,169203,1.41e-09,63.9,153,770,38,1055293
Seq_189_LinJ.16,LinJ.26,75.817,88,231,210358,210503,1.41e-09,63.9,153,770,38,1055293
Seq_189_LinJ.16,LinJ.26,75.817,88,231,228919,228774,1.41e-09,63.9,153,770,38,1055293
Seq_671_LinJ.36,LinJ.32,79.167,3,95,165938,165848,1.94e-09,60.2,96,101,96,1544760
Seq_294_LinJ.25,LinJ.24,83.333,5,68,615660,615725,2.87e-09,60.2,66,139,54,863815
Seq_294_LinJ.25,LinJ.24,83.333,5,68,538499,538564,2.87e-09,60.2,66,139,54,863815
Seq_205_LinJ.17,LinJ.33,82.609,76,144,486824,486758,3.02e-09,60.2,69,146,68,1532318
Seq_205_LinJ.17,LinJ.30,75.714,1,130,951024,951161,3.02e-09,60.2,140,146,95,1353302
Seq_207_LinJ.17,LinJ.30,75.342,1,136,951018,951161,3.17e-09,60.2,146,152,95,1353302
Seq_207_LinJ.17,LinJ.33,82.609,82,150,486824,486758,3.17e-09,60.2,69,152,70,1532318
Seq_279_LinJ.24,LinJ.27,75.188,1,133,1044021,1043893,3.29e-09,60.2,133,157,97,1175412
Seq_279_LinJ.24,LinJ.29,76.336,2,131,1066576,1066456,3.29e-09,60.2,131,157,96,1272419
Seq_279_LinJ.24,LinJ.27,75.188,1,133,961013,960885,3.29e-09,60.2,133,157,97,1175412
Seq_279_LinJ.24,LinJ.27,75.188,1,133,975059,974931,3.29e-09,60.2,133,157,97,1175412
Seq_279_LinJ.24,LinJ.27,75.188,1,133,964001,963873,3.29e-09,60.2,133,157,97,1175412
Seq_279_LinJ.24,LinJ.27,75.188,1,133,989103,988975,3.29e-09,60.2,133,157,97,1175412
Seq_206_LinJ.17,LinJ.33,82.609,92,160,486824,486758,3.41e-09,60.2,69,162,60,1532318
Seq_378_LinJ.29,LinJ.23,74.839,1,149,585110,584960,3.77e-09,62.1,155,576,26,786683
Seq_681_LinJ.36,LinJ.24,79.57,71,159,283864,283773,4e-09,62.1,93,610,38,863815
Seq_681_LinJ.36,LinJ.24,79.57,71,159,303215,303124,4e-09,62.1,93,610,38,863815
Seq_11_LinJ.02,LinJ.14,73.262,176,360,141163,140982,4.17e-09,62.1,187,635,30,656132
Seq_11_LinJ.02,LinJ.24,75.0,207,349,807257,807118,4.17e-09,62.1,144,635,55,863815
Seq_11_LinJ.02,LinJ.24,74.83,204,349,786351,786493,4.17e-09,62.1,147,635,55,863815
Seq_11_LinJ.02,LinJ.14,73.262,176,360,104719,104538,4.17e-09,62.1,187,635,30,656132
